Data;Institucija;Pirkinys yra:;Pirkinio pavadinimas;Matavimo vienetai;Kiekis;Sutarties vertë (Eur) su PVM (þodþiu sudarytos sutarties atveju-  sàskaitoje faktûroje ar kt  mokëjimo dokumente nurodyta vertë (Eur) su PVM);Pirkimo bûdas;Laimëjusio dalyvio pavadinimas;BVPÞ kodas.;Sutarties ásipareigojimø dalis, kuriai laimëtojas ketina pasitelkti treèiuosius asmenis kaip subrangovus, subtiekëjus ar subteikëjus
2016.01.04;Stasio Ðalkauskio gimnazija;Prekës;Grudu maluno produktai, krakmolas ir krakmolo gaminiai;Kg (kilogramai);3120;2089,17;Skelbiama apklausa raðtu;"UAB ""Vilguva""";15600000-4 ;NËRA
2016.01.04;Stasio Ðalkauskio gimnazija;Prekës;Duonos gaminiai, ðvieþi kepiniai ir pyrago gaminiai;Kg (kilogramai);9646;20129,6;Skelbiama apklausa raðtu;"UAB ""Senoji eglë""";15810000-9;NËRA
2016.01.04;Stasio Ðalkauskio gimnazija;Prekës;Gyvûninës kilmës produktai, mësa ir mësos produktai;Kg (kilogramai);8711;22658,5;Skelbiama apklausa raðtu;"UAB ""Sanitex""";15100000-9 ;NËRA
2016.01.04;Stasio Ðalkauskio gimnazija;Prekës;Pieno produktai;Kg (kilogramai);5078;13213,5;Skelbiama apklausa raðtu;"UAB ""Sanitex""";15500000-3 ;NËRA
2016.01.04;Stasio Ðalkauskio gimnazija;Prekës;Javai, bulves, darþoves, vaisiai ir rieðutai;Kg (kilogramai);20515;17558,54;Skelbiama apklausa raðtu;"UAB ""Sanitex""";03200000-3;NËRA
2016.01.04;Stasio Ðalkauskio gimnazija;Prekës;Paruoðta ir konservuota þuvis;Kg (kilogramai);790;2910,2;Skelbiama apklausa raðtu;"UAB ""Sanitex""";15200000-0 ;NËRA
2016.01.04;Ðiauliø sutrikusios klausos vaikø ugdymo centras;Prekës;Gyvulinës kilmës produktai, mësa ir mësos produktai;Mën (mënesiai);12;3226,76;Supaprastintas atviras konkursas;"UAB ,,Senoji eglë""";15100000;Nepasitelkë
2016.01.04;Ðiauliø sutrikusios klausos vaikø ugdymo centras;Prekës;Pieno produktai;Mën (mënesiai);12;4520,88;Supaprastintas atviras konkursas;"AB ,,Þemaitijos pienas""";15500000;Ne
2016.01.04;Plaukimo mokykla „Delfinas“;Prekës;Smulki biuro áranga;pak.;7;27,12;Apklausa þodþiu;UAB Charlot LT;30197000-6;Nepasitelkiama
2016.01.05;Stasio Ðalkauskio gimnazija;Prekës; Ivairus maisto produktai;Kg (kilogramai);5793;10998,95;Skelbiama apklausa raðtu;"UAB ""Sanitex""";15800000-6;NËRA
2016.01.05;Stasio Ðalkauskio gimnazija;Prekës;Vaisiu ir darþoviu sultys;l (litrai);3780;2600;Skelbiama apklausa raðtu;"UAB ""Sanitex""";15320000-7 ;NËRA
2016.01.05;Stasio Ðalkauskio gimnazija;Prekës; Nealkoholiniai gerimai;l (litrai);9620;8703,8;Skelbiama apklausa raðtu;"UAB ""Sanitex""";15980000-1;NËRA
2016.01.05;BÁ Ðiauliø miesto savivaldybës Socialiniø paslaugø centras;Paslaugos;Paðto paslaugos, susijusios su laiðkais;Vnt. (vienetai);4;2,16;Apklausa þodþiu;"AB ""Lietuvos paðtas""";64112000-4;-
2016.01.05;Plaukimo mokykla „Delfinas“;Prekës;Popieriniai arba kartoniniai þurnalai, apskaitos knygos, segtuvai,blankai ir kiti spausdinti raðtinës reikmenys;Vnt. (vienetai);30;29,75;Apklausa þodþiu;"UAB ""Blankø leidykla""";22800000-8;Nepasitelkiama
2016.01.05;Plaukimo mokykla „Delfinas“;Paslaugos;Laikraðèiai, dienraðèiai, periodiniai leidiniai ir þurnalai;Vnt. (vienetai);4;156,4;Apklausa þodþiu;"UAB ""Naujoji tvarka""";22200000-2;Nepasitelkiama
2016.01.06;Ðiauliø futbolo akademija;Prekës;Elektros árenginiai ir aparatai;Vnt. (vienetai);4;170,82;Apklausa þodþiu;UAB Gusto prekyba;331600000-2 ;-
2016.01.06;Plaukimo mokykla „Delfinas“;Paslaugos;Gyvenamojo nekilnojamojo turto nuomos ar lizingo paslaugos;Vnt. (vienetai);1;500;Apklausa þodþiu;M.Bûtëno IÁ;70210000-6;Nepasitelkiama
2016.01.06;Plaukimo mokykla „Delfinas“;Prekës;Geriamasis vanduo;Vnt. (vienetai);4;6,95;Apklausa þodþiu;"UAB ""Sidabrinë srovë""";41110000-3;Nepasitelkiama
2016.01.06;Plaukimo mokykla „Delfinas“;Prekës;Laikraðèiai, dienraðèiai, periodiniai leidiniai ir þurnalai;Vnt. (vienetai);1;96;Apklausa þodþiu;"UAB ""Apskaitis ir audito þinios""";22200000-2;Nepasitelkiama
2016.01.07;Ðiauliø sutrikusios klausos vaikø ugdymo centras;Paslaugos;Pastatø nuomos ar pardavimo paslauga;Val.;1;9;Apklausa þodþiu;Daugiabuèio namo Vytauto g. 63 savininkø bendrija;70311000;Ne
2016.01.07;Plaukimo mokykla „Delfinas“;Paslaugos;Gyvenamojo nekilnojamojo turto nuomos ar lizingo paslaugos;Vnt. (vienetai);1;67,81;Apklausa þodþiu;"UAB ""Lietavira""";70210000-6;Nepasitelkiama
