Sutarties sudarymo data;Perkanèioji Institucija;Pirkinys yra: prekës, paslaugos, darbai1;Pirkinio pavadinimas (Pavadinimas pagal BVPÞ kodà þodþiais);Matavimo vienetai;Kiekis;Sutarties vertë (Eur) su PVM (þodþiu sudarytos sutarties atveju-  sàskaitoje faktûroje ar kt  mokëjimo dokumente nurodyta vertë (Eur) su PVM);Pirkimo bûdas2;Laimëjusio dalyvio pavadinimas;BVPÞ kodas(Skaièiais);Sutarties ásipareigojimø dalis, kuriai laimëtojas ketina pasitelkti treèiuosius asmenis kaip subrangovus, subtiekëjus ar subtiekëjus
2016.01.11;Ðiauliø m. sav. administracija;Prekës;Ðiauliø m. civilinës saugos perspëjimo sirenomis sistemos prieþiûros paslauga;Mën;24,00;15000,00;AÞ;UAB ,,Fima'';75222000-8;Nëra
2016.05.05;Ðiauliø m. sav. administracija;Darbai;Informaciniø spaudiniø gyventojø ugdymo civilinës saugos (gaisrø prevencijos) klausimais;Vnt;1300,00;217,80;AÞ;UAB ,,INDIGO print'';79800000-2;Nëra
2016.05.24;Ðiauliø m. sav. administracija;Prekës;Gaisrø prevencijos priemoniø vykdymas Ðiauliø m. sav. teritorijos Rëkyvos eþero pakrantëse ir miðkuose;Mën;36,00;7000,00;AÞ;Rëkyvos ugniagesiø savanoriø draugija;75222000-8;Nëra
2016.03.04;Ðiauliø m. sav. administracija;Prekës;Gyvûnø prieþiûrai skirtos árangos prieþiûros paslaugos sutartis;Mën.;12,00;11000,00;SAR;"AB ""Specializuotas transportas""";98390000-3;Nëra
2016.01.04;Dainø progimnazija;Prekës; Ðvietimo ir mokymo paslaugos;VNT;1,00;82,00;VT;Ðiauliø Ðvietimo centras;80000000-4 ;
2016.01.18;Dainø progimnazija;Prekës;Mokymo priemonës;VNT;1,00;70,00;AÞ;Ainos Ambrazienës ámonë;39162100-6;
2016.01.19;Dainø progimnazija;Prekës; Ðvietimo ir mokymo paslaugos;VNT;2,00;50,72;VT;Ugniagesiø gelbëjimo mokykla;80000000-4 ;
2016.01.22;Dainø progimnazija;Prekës; Ðvietimo ir mokymo paslaugos;VNT;1,00;20,00;VT;Ðiauliø Ðvietimo centras;80000000-4 ;
2016.01.26;Dainø progimnazija;Prekës;Molis;Kg.;20,00;13,96;AÞ;UAB Keramika;14221000-6;
2016.01.29;Dainø progimnazija;Prekës;Kilimëliø nuoma;VNT;48,00;130,00;CPO;UAB Ðvarus pasaulis;39533000-7;
2016.01.31;Dainø progimnazija;Prekës;Elektros skirstymas;MËN;9,00;3500,00;CPO;UAB Energijos tiekimas;65310000-9;
2016.02.05;Dainø progimnazija;Prekës; Ðvietimo ir mokymo paslaugos;VNT;1,00;2,00;VT;Ðiauliø Ðvietimo centras;80000000-4 ;
2016.02.15;Dainø progimnazija;Prekës; Ðvietimo ir mokymo paslaugos;VNT;1,00;14,00;VT;Ðiauliø Ðvietimo centras;80000000-4 ;
2016.02.17;Dainø progimnazija;Prekës; Ðvietimo ir mokymo paslaugos;VNT;1,00;13,00;VT;Ðiauliø Ðvietimo centras;80000000-4 ;
2016.02.17;Dainø progimnazija;Prekës; Ðvietimo ir mokymo paslaugos;VNT;1,00;13,00;VT;Ðiauliø Ðvietimo centras;80000000-4 ;
2016.02.23;Dainø progimnazija;Prekës; Ðvietimo ir mokymo paslaugos;VNT;1,00;430,00;VT;Ðiauliø Ðvietimo centras;80000000-4 ;
2016.02.24;Dainø progimnazija;Prekës;Su kompiuteriais susijusi áranga;VNT;2,00;39,93;AÞ;UAB Biznio maðinø kompanija;30230000-0;
2015.12.21;Dainø progimnazija;Prekës;Popierius spauzdintuvams;VNT;30,00;78,86;CPO;UAB Novakopa;30197630-1;
2016.03.01;Dainø progimnazija;Prekës;Statybinës konstrukcijos ir medþiagos;VNT;11,00;23,56;AÞ;UAB IRIS ;44000000-0;
2016.03.04;Dainø progimnazija;Prekës;Elektros prekës;VNT;19,00;51,28;AÞ;"UAB ""Ðiauliø lyra""";42992000-6;
2016.03.17;Dainø progimnazija;Prekës; Ðvietimo ir mokymo paslaugos;VNT;2,00;32,00;VT;Ðiauliø Ðvietimo centras;80000000-4 ;
2016.03.18;Dainø progimnazija;Prekës; Ðvietimo ir mokymo paslaugos;VNT;1,00;17,00;VT;Ðiauliø Ðvietimo centras;80000000-4 ;
2016.03.22;Dainø progimnazija;Prekës;Ávairios statybinës medþiagos;VNT;327,00;34,22;AÞ;"UAB ""Ðiauliø lyra""";44190000-8;
2016.03.22;Dainø progimnazija;Prekës; Ðvietimo ir mokymo paslaugos;VNT;1,00;23,00;VT;Ðiauliø Ðvietimo centras;80000000-4 ;
